
|WESL-LP     |-         |TX |2   |DA  |Z                   |-  |-  |LIC    |JAMESTOWN                |KY |US |BLTVL  -20070504AGP |0.35   kW |-         |0.0     |-       |128034     |N |37 |9  |29.00 |W |85  |9  |50.00 |HISPANIC CHRISTIAN COMMUNITY NETWORK, INC.                                  |   0.00 km |   0.00 mi |  0.00 deg |314.   m|-       |78853     |150.    |1044249 |5.      |1183788   |
|K02QB       |-         |TX |2   |DA  |-                   |-  |-  |LIC    |ALEXANDRIA               |LA |US |BLTVL  -20080125ADH |0.002  kW |-         |0.0     |-       |129435     |N |31 |16 |4.34  |W |92  |26 |23.51 |AGAPE BROADCASTERS, INC.                                                    |   0.00 km |   0.00 mi |  0.00 deg |48.    m|-       |18108     |90.     |1049416 |25.     |1229452   |
|W02AU       |-         |TX |2   |DA  |                    |-  |-  |LIC    |ST. FRANCIS              |ME |US |BLTTV  -3004        |0.002  kW |-         |0.0     |-       |62116      |N |47 |10 |8.00  |W |68  |51 |47.00 |ST. FRANCIS CHAMBER OF COMMERCE                                             |   0.00 km |   0.00 mi |  0.00 deg |458.   m|H       |24557     |292.    |-       |0.      |304059    |
|WLBZ        |-         |DT |2   |ND  |                    |1  |-  |LIC    |BANGOR                   |ME |US |BLCDT  -20090909AAK |3.     kW |-         |192.0   |-       |39644      |N |44 |44 |10.00 |W |68  |40 |17.00 |PACIFIC AND SOUTHERN COMPANY, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |268.   m|H       |87082     |-       |-       |21.1    |1331444   |
|WWMT        |-         |DT |2   |ND  |                    |1  |-  |LIC    |KALAMAZOO                |MI |US |BLCDT  -20020718ABT |6.9    kW |-         |305.0   |-       |74195      |N |42 |37 |56.00 |W |85  |32 |16.00 |FREEDOM BROADCASTING OF MICHIGAN LICENSEE, L.L.C                            |   0.00 km |   0.00 mi |  0.00 deg |553.   m|H       |39118     |-       |1000688 |318.    |604965    |
|K02MM       |-         |TX |2   |DA  |Z                   |-  |-  |LIC    |FERGUS FALLS             |MN |US |BLTTV  -19840604II  |0.099  kW |-         |0.0     |-       |22130      |N |46 |19 |35.00 |W |96  |5  |25.00 |FORUM COMMUNICATIONS COMPANY                                                |   0.00 km |   0.00 mi |  0.00 deg |421.   m|H       |24213     |166.    |-       |0.      |70037     |
|K02AO       |-         |TX |2   |DA  |                    |-  |-  |LIC    |EUREKA, ETC.             |MT |US |BLTTV  -19901203IT  |0.061  kW |-         |0.0     |-       |18071      |N |48 |51 |53.00 |W |115 |7  |27.00 |BLUESTONE LICENSE HOLDINGS INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |1248.  m|H       |20783     |70.     |-       |9.      |155026    |
|K02OL       |-         |TX |2   |DA  |                    |-  |-  |LIC    |SEELEY LAKE              |MT |US |BLTTV  -19941004JD  |0.02   kW |-         |0.0     |-       |18080      |N |47 |9  |53.00 |W |113 |31 |49.00 |BLUESTONE LICENSE HOLDINGS INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |1512.  m|H       |21893     |0.      |-       |6.      |202994    |
|K02HJ       |-         |TX |2   |DA  |                    |-  |-  |LIC    |ORD                      |NE |US |BLTTV  -19830727ID  |0.032  kW |-         |0.0     |-       |11509      |N |41 |35 |38.00 |W |98  |55 |29.00 |CITY OF ORD                                                                 |   0.00 km |   0.00 mi |  0.00 deg |671.   m|H       |24224     |0.      |-       |0.      |59402     |
|K02NT       |-         |CA |2   |DA  |                    |-  |-  |LIC    |SCOTTSBLUFF              |NE |US |BLTVA  -20040622AAO |1.38   kW |-         |0.0     |-       |17685      |N |41 |51 |44.00 |W |103 |39 |38.00 |DUHAMEL BROADCASTING ENTERPRISES                                            |   0.00 km |   0.00 mi |  0.00 deg |1209.  m|-       |65945     |0.      |-       |32.     |996716    |
|K02JO       |-         |TX |2   |DA  |                    |-  |-  |LIC    |CALIENTE                 |NV |US |BLTTV  -19790402ID  |0.004  kW |-         |0.0     |-       |37513      |N |37 |37 |24.00 |W |114 |30 |25.00 |LINCOLN COUNTY TV DISTRICT NO. 1                                            |   0.00 km |   0.00 mi |  0.00 deg |1438.  m|H       |20822     |230.    |-       |0.      |9226      |
|K02FJ       |-         |TX |2   |ND  |                    |-  |-  |LIC    |OVERTON                  |NV |US |BLTT   -3397        |0.01   kW |-         |0.0     |-       |11685      |N |36 |41 |1.00  |W |114 |30 |54.00 |CLARK COUNTY SCHOOL DISTRICT                                                |   0.00 km |   0.00 mi |  0.00 deg |681.   m|-       |-         |-       |-       |6.      |13853     |
|K02FM       |-         |TX |2   |ND  |                    |-  |-  |LIC    |GOODSPRINGS              |NV |US |BLTTV  -2115        |0.001  kW |-         |0.0     |-       |11682      |N |35 |53 |36.00 |W |115 |29 |39.00 |CLARK COUNTY SCHOOL DISTRICT                                                |   0.00 km |   0.00 mi |  0.00 deg |1896.  m|-       |-         |-       |-       |6.      |13854     |
|K02KS       |-         |TX |2   |DA  |                    |-  |-  |LIC    |RYNDON, ETC.             |NV |US |BLTTV  -19810909IM  |0.013  kW |-         |0.0     |-       |19390      |N |41 |1  |20.00 |W |115 |11 |40.00 |ELKO TELEVISION DISTRICT                                                    |   0.00 km |   0.00 mi |  0.00 deg |1897.  m|H       |24538     |261.    |-       |0.      |33851     |
|K02OK       |-         |TX |2   |DA  |                    |-  |-  |LIC    |BEOWAWE, ETC.            |NV |US |BLTVL  -19940621JI  |0.009  kW |-         |0.0     |-       |19851      |N |40 |35 |40.00 |W |116 |40 |30.00 |EUREKA COUNTY TELEVISION DISTRICT #2                                        |   0.00 km |   0.00 mi |  0.00 deg |2249.  m|H       |20794     |130.    |-       |6.      |200350    |
|K02EG       |-         |TX |2   |DA  |                    |-  |-  |LIC    |URSINE                   |NV |US |BLTTV  -1694        |0.058  kW |-         |0.0     |-       |37541      |N |37 |59 |0.00  |W |114 |13 |20.00 |LINCOLN COUNTY TV DISTRICT NO. 1                                            |   0.00 km |   0.00 mi |  0.00 deg |1802.  m|H       |20822     |96.     |-       |0.      |304090    |
|K02FN       |-         |TX |2   |DA  |+                   |-  |-  |LIC    |MESQUITE                 |NV |US |BLTTV  -20050718AFM |0.282  kW |-         |0.0     |-       |11678      |N |36 |49 |55.00 |W |114 |3  |32.00 |CLARK COUNTY SCHOOL DISTRICT                                                |   0.00 km |   0.00 mi |  0.00 deg |598.6  m|-       |64970     |170.    |1240461 |24.4    |1073791   |
|KSNV-DT     |-         |DT |2   |ND  |                    |2  |-  |LIC    |LAS VEGAS                |NV |US |BLCDT  -20050824ABJ |27.7   kW |-         |386.0   |-       |69677      |N |36 |0  |32.00 |W |115 |0  |19.00 |SOUTHERN NEVADA COMMUNICATIONS                                              |   0.00 km |   0.00 mi |  0.00 deg |1080.  m|H       |69996     |-       |1234294 |69.     |1080968   |
|K02KP       |-         |TX |2   |DA  |                    |-  |-  |LIC    |LORDSBURG                |NM |US |BLTTV  -19831212IA  |0.042  kW |-         |0.0     |-       |55483      |N |32 |19 |39.00 |W |108 |43 |34.00 |REGENTS OF NEW MEXICO STATE UNIVERSITY                                      |   0.00 km |   0.00 mi |  0.00 deg |1390.  m|H       |20822     |43.     |-       |0.      |64335     |
